ts,val,sid
2022-03-01 00:00:00+00:00,1.0,S01
2022-03-01 00:02:52.972972972+00:00,1.0125078668138485,S01
2022-03-01 00:05:45.945945945+00:00,1.0250864759679714,S01
2022-03-01 00:08:38.918918918+00:00,1.037661114501529,S01
2022-03-01 00:11:31.891891891+00:00,1.050229792134244,S01
2022-03-01 00:14:24.864864864+00:00,1.0627905195293135,S01
2022-03-01 00:17:17.837837837+00:00,1.0753413086082775,S01
2022-03-01 00:20:10.810810810+00:00,1.0878801728656866,S01
2022-03-01 00:23:03.783783783+00:00,1.1004051276835198,S01
2022-03-01 00:25:56.756756756+00:00,1.1129141906453055,S01
2022-03-01 00:28:49.729729729+00:00,1.1254053818498926,S01
2022-03-01 00:31:42.702702702+00:00,1.1378767242248238,S01
2022-03-01 00:34:35.675675675+00:00,1.1503262438392623,S01
2022-03-01 00:37:28.648648648+00:00,1.1627519702164193,S01
2022-03-01 00:40:21.621621621+00:00,1.175151936645436,S01
2022-03-01 00:43:14.594594594+00:00,1.1875241804926697,S01
2022-03-01 00:46:07.567567567+00:00,1.1998667435123345,S01
2022-03-01 00:49:00.540540540+00:00,1.2121776721564461,S01
2022-03-01 00:51:53.513513513+00:00,1.2244550178840257,S01
2022-03-01 00:54:46.486486486+00:00,1.2366968374695078,S01
2022-03-01 00:57:39.459459459+00:00,1.2489011933103114,S01
2022-03-01 01:00:32.432432432+00:00,1.261066153733516,S01
2022-03-01 01:03:25.405405405+00:00,1.2731897933016034,S01
2022-03-01 01:06:18.378378378+00:00,1.2852701931172104,S01
2022-03-01 01:09:11.351351351+00:00,1.297305441126846,S01
2022-03-01 01:12:04.324324324+00:00,1.3092936324235276,S01
2022-03-01 01:14:57.297297297+00:00,1.321232869548283,S01
2022-03-01 01:17:50.270270270+00:00,1.3331212627904756,S01
2022-03-01 01:20:43.243243243+00:00,1.344956930486904,S01
2022-03-01 01:23:36.216216216+00:00,1.3567379993196251,S01
2022-03-01 01:26:29.189189189+00:00,1.3684626046124586,S01
2022-03-01 01:29:22.162162162+00:00,1.3801288906261229,S01
2022-03-01 01:32:15.135135135+00:00,1.391735010851956,S01
2022-03-01 01:35:08.108108108+00:00,1.403279128304177,S01
2022-03-01 01:38:01.081081081+00:00,1.414759415810639,S01
2022-03-01 01:40:54.054054054+00:00,1.4261740563020278,S01
2022-03-01 01:43:47.027027027+00:00,1.4375212430994648,S01
2022-03-01 01:46:40+00:00,1.448799180200462,S01
2022-03-01 01:49:32.972972972+00:00,1.4599415102903648,S01
2022-03-01 01:52:25.945945945+00:00,1.4710760300498489,S01
2022-03-01 01:55:18.918918918+00:00,1.4821359891506325,S01
2022-03-01 01:58:11.891891891+00:00,1.493119637051862,S01
2022-03-01 02:01:04.864864864+00:00,1.5040252352910168,S01
2022-03-01 02:03:57.837837837+00:00,1.5148510577590688,S01
2022-03-01 02:06:50.810810810+00:00,1.5255953909736877,S01
2022-03-01 02:09:43.783783783+00:00,1.5362565343504433,S01
2022-03-01 02:12:36.756756756+00:00,1.5468328004719725,S01
2022-03-01 02:15:29.729729729+00:00,1.5573225153550567,S01
2022-03-01 02:18:22.702702702+00:00,1.567724018715578,S01
2022-03-01 02:21:15.675675675+00:00,1.5780356642313031,S01
2022-03-01 02:24:08.648648648+00:00,1.5882558198024581,S01
2022-03-01 02:27:01.621621621+00:00,1.5983828678100538,S01
2022-03-01 02:29:54.594594594+00:00,1.608415205371919,S01
2022-03-01 02:32:47.567567567+00:00,1.6183512445963981,S01
2022-03-01 02:35:40.540540540+00:00,1.6281894128336813,S01
2022-03-01 02:38:33.513513513+00:00,1.6379281529247165,S01
2022-03-01 02:41:26.486486486+00:00,1.647565923447674,S01
2022-03-01 02:44:19.459459459+00:00,1.6571011989619189,S01
2022-03-01 02:47:12.432432432+00:00,1.6665324702494524,S01
2022-03-01 02:50:05.405405405+00:00,1.6758582445537877,S01
2022-03-01 02:52:58.378378378+00:00,1.6850770458162199,S01
2022-03-01 02:55:51.351351351+00:00,1.6941874149094511,S01
2022-03-01 02:58:44.324324324+00:00,1.703187909868539,S01
2022-03-01 03:01:37.297297297+00:00,1.7120771061191262,S01
2022-03-01 03:04:30.270270270+00:00,1.7208535967029188,S01
2022-03-01 03:07:23.243243243+00:00,1.7295159925003742,S01
2022-03-01 03:10:16.216216216+00:00,1.73806292245057,S01
2022-03-01 03:13:09.189189189+00:00,1.7464930337682096,S01
2022-03-01 03:16:02.162162162+00:00,1.754804992157738,S01
2022-03-01 03:18:55.135135135+00:00,1.7629974820245318,S01
2022-03-01 03:21:48.108108108+00:00,1.7710692066831262,S01
2022-03-01 03:24:41.081081081+00:00,1.7790188885624518,S01
2022-03-01 03:27:34.054054054+00:00,1.7868452694080457,S01
2022-03-01 03:30:27.027027027+00:00,1.7945471104812034,S01
2022-03-01 03:33:20+00:00,1.8021231927550438,S01
2022-03-01 03:36:12.972972972+00:00,1.8095296256563844,S01
2022-03-01 03:39:05.945945945+00:00,1.816851357085064,S01
2022-03-01 03:41:58.918918918+00:00,1.8240437994577103,S01
2022-03-01 03:44:51.891891891+00:00,1.8311058143737122,S01
2022-03-01 03:47:44.864864864+00:00,1.8380362840761673,S01
